Ligand,Binding Affinity,rmsd/ub, rmsd/lb
merged_structure_ZINC000151425088_uff_E=288.34,-6.6,0.0,0.0
merged_structure_ZINC000151425088_uff_E=288.34,-6.5,8.325,5.737
merged_structure_ZINC000151425088_uff_E=288.34,-6.5,7.312,4.805
merged_structure_ZINC000151425088_uff_E=288.34,-6.3,7.008,4.819
merged_structure_ZINC000151425088_uff_E=288.34,-6.1,3.843,3.059
merged_structure_ZINC000151425088_uff_E=288.34,-6.1,7.901,4.7
merged_structure_ZINC000151425088_uff_E=288.34,-6.0,4.263,2.536
merged_structure_ZINC000151425088_uff_E=288.34,-6.0,7.793,5.251
merged_structure_ZINC000151425088_uff_E=288.34,-6.0,4.656,3.074
merged_structure_ZINC000151425092_uff_E=1862.35,-7.1,0.0,0.0
merged_structure_ZINC000151425092_uff_E=1862.35,-6.9,9.635,7.125
merged_structure_ZINC000151425092_uff_E=1862.35,-6.9,2.146,1.583
merged_structure_ZINC000151425092_uff_E=1862.35,-6.7,2.65,1.835
merged_structure_ZINC000151425092_uff_E=1862.35,-6.7,4.0,2.99
merged_structure_ZINC000151425092_uff_E=1862.35,-6.7,12.841,11.346
merged_structure_ZINC000151425092_uff_E=1862.35,-6.5,10.324,7.694
merged_structure_ZINC000151425092_uff_E=1862.35,-6.4,13.135,11.917
merged_structure_ZINC000151425092_uff_E=1862.35,-6.4,3.644,2.195
merged_structure_ZINC000151425101_uff_E=210.17,-6.3,0.0,0.0
merged_structure_ZINC000151425101_uff_E=210.17,-6.1,8.508,1.89
merged_structure_ZINC000151425101_uff_E=210.17,-5.8,2.952,2.507
merged_structure_ZINC000151425101_uff_E=210.17,-5.6,8.395,2.09
merged_structure_ZINC000151425101_uff_E=210.17,-5.6,8.359,2.741
merged_structure_ZINC000151425101_uff_E=210.17,-5.5,8.457,2.457
merged_structure_ZINC000151425101_uff_E=210.17,-5.5,9.498,4.552
merged_structure_ZINC000151425101_uff_E=210.17,-5.4,9.185,5.857
merged_structure_ZINC000151425101_uff_E=210.17,-5.4,9.259,5.892
merged_structure_ZINC000151425142_uff_E=182.14,-6.1,0.0,0.0
merged_structure_ZINC000151425142_uff_E=182.14,-6.0,7.552,3.408
merged_structure_ZINC000151425142_uff_E=182.14,-5.7,5.808,1.612
merged_structure_ZINC000151425142_uff_E=182.14,-5.6,4.607,2.596
merged_structure_ZINC000151425142_uff_E=182.14,-5.6,14.178,11.483
merged_structure_ZINC000151425142_uff_E=182.14,-5.4,6.825,4.441
merged_structure_ZINC000151425142_uff_E=182.14,-5.4,7.022,4.347
merged_structure_ZINC000151425142_uff_E=182.14,-5.4,14.447,13.194
merged_structure_ZINC000151425142_uff_E=182.14,-5.4,6.051,2.184
merged_structure_ZINC000151425149_uff_E=1597.83,-6.0,0.0,0.0
merged_structure_ZINC000151425149_uff_E=1597.83,-6.0,9.329,4.722
merged_structure_ZINC000151425149_uff_E=1597.83,-5.9,2.813,2.249
merged_structure_ZINC000151425149_uff_E=1597.83,-5.7,9.325,4.386
merged_structure_ZINC000151425149_uff_E=1597.83,-5.7,5.695,4.874
merged_structure_ZINC000151425149_uff_E=1597.83,-5.7,5.778,5.19
merged_structure_ZINC000151425149_uff_E=1597.83,-5.7,5.523,4.884
merged_structure_ZINC000151425149_uff_E=1597.83,-5.7,2.148,1.607
merged_structure_ZINC000151425149_uff_E=1597.83,-5.6,9.39,3.357
merged_structure_ZINC000151425157_uff_E=524.48,-6.2,0.0,0.0
merged_structure_ZINC000151425157_uff_E=524.48,-5.7,6.934,3.535
merged_structure_ZINC000151425157_uff_E=524.48,-5.6,14.504,12.733
merged_structure_ZINC000151425157_uff_E=524.48,-5.5,4.137,2.965
merged_structure_ZINC000151425157_uff_E=524.48,-5.5,3.25,2.407
merged_structure_ZINC000151425157_uff_E=524.48,-5.5,14.365,12.438
merged_structure_ZINC000151425157_uff_E=524.48,-5.4,3.655,2.844
merged_structure_ZINC000151425157_uff_E=524.48,-5.4,6.697,2.827
merged_structure_ZINC000151425157_uff_E=524.48,-5.3,15.227,12.446
merged_structure_ZINC000151425159_uff_E=226.29,-5.4,0.0,0.0
merged_structure_ZINC000151425159_uff_E=226.29,-5.4,4.035,2.106
merged_structure_ZINC000151425159_uff_E=226.29,-5.4,2.187,1.187
merged_structure_ZINC000151425159_uff_E=226.29,-5.3,14.75,12.304
merged_structure_ZINC000151425159_uff_E=226.29,-5.3,5.77,2.638
merged_structure_ZINC000151425159_uff_E=226.29,-5.2,4.919,2.419
merged_structure_ZINC000151425159_uff_E=226.29,-5.2,15.01,12.544
merged_structure_ZINC000151425159_uff_E=226.29,-5.2,14.686,12.373
merged_structure_ZINC000151425159_uff_E=226.29,-5.2,14.191,12.549
merged_structure_ZINC000151425164_uff_E=256.85,-6.1,0.0,0.0
merged_structure_ZINC000151425164_uff_E=256.85,-6.0,1.702,1.428
merged_structure_ZINC000151425164_uff_E=256.85,-6.0,8.627,3.555
merged_structure_ZINC000151425164_uff_E=256.85,-5.9,8.63,5.001
merged_structure_ZINC000151425164_uff_E=256.85,-5.9,3.981,2.665
merged_structure_ZINC000151425164_uff_E=256.85,-5.8,8.526,2.521
merged_structure_ZINC000151425164_uff_E=256.85,-5.6,8.631,2.174
merged_structure_ZINC000151425164_uff_E=256.85,-5.5,8.376,5.759
merged_structure_ZINC000151425164_uff_E=256.85,-5.5,8.146,3.236
merged_structure_ZINC000151425165_uff_E=319.18,-7.0,0.0,0.0
merged_structure_ZINC000151425165_uff_E=319.18,-6.6,4.923,2.831
merged_structure_ZINC000151425165_uff_E=319.18,-6.5,5.444,3.835
merged_structure_ZINC000151425165_uff_E=319.18,-6.4,1.973,1.668
merged_structure_ZINC000151425165_uff_E=319.18,-6.2,6.414,4.495
merged_structure_ZINC000151425165_uff_E=319.18,-6.2,5.209,3.678
merged_structure_ZINC000151425165_uff_E=319.18,-6.2,2.171,1.792
merged_structure_ZINC000151425165_uff_E=319.18,-6.2,8.144,5.344
merged_structure_ZINC000151425165_uff_E=319.18,-6.2,4.78,2.899
merged_structure_ZINC000151425166_uff_E=537.59,-5.0,0.0,0.0
merged_structure_ZINC000151425166_uff_E=537.59,-4.9,14.63,13.337
merged_structure_ZINC000151425166_uff_E=537.59,-4.9,14.129,12.81
merged_structure_ZINC000151425166_uff_E=537.59,-4.9,15.542,14.007
merged_structure_ZINC000151425166_uff_E=537.59,-4.8,7.506,3.759
merged_structure_ZINC000151425166_uff_E=537.59,-4.8,8.292,6.307
merged_structure_ZINC000151425166_uff_E=537.59,-4.6,13.548,12.508
merged_structure_ZINC000151425166_uff_E=537.59,-4.6,14.557,13.174
merged_structure_ZINC000151425166_uff_E=537.59,-4.6,9.135,6.771
merged_structure_ZINC000151425168_uff_E=1892.00,-7.5,0.0,0.0
merged_structure_ZINC000151425168_uff_E=1892.00,-6.8,3.178,2.312
merged_structure_ZINC000151425168_uff_E=1892.00,-6.8,13.468,12.029
merged_structure_ZINC000151425168_uff_E=1892.00,-6.7,9.211,5.56
merged_structure_ZINC000151425168_uff_E=1892.00,-6.5,12.117,9.479
merged_structure_ZINC000151425168_uff_E=1892.00,-6.5,13.686,12.087
merged_structure_ZINC000151425168_uff_E=1892.00,-6.3,11.125,9.165
merged_structure_ZINC000151425168_uff_E=1892.00,-6.2,11.066,9.287
merged_structure_ZINC000151425168_uff_E=1892.00,-6.1,14.988,13.033
merged_structure_ZINC000151425199_uff_E=288.22,-7.0,0.0,0.0
merged_structure_ZINC000151425199_uff_E=288.22,-6.7,7.871,4.101
merged_structure_ZINC000151425199_uff_E=288.22,-5.9,10.606,7.925
merged_structure_ZINC000151425199_uff_E=288.22,-5.8,10.823,7.992
merged_structure_ZINC000151425199_uff_E=288.22,-5.6,11.108,8.498
merged_structure_ZINC000151425199_uff_E=288.22,-5.6,10.958,8.353
merged_structure_ZINC000151425199_uff_E=288.22,-5.6,16.049,12.832
merged_structure_ZINC000151425199_uff_E=288.22,-5.5,11.653,9.119
merged_structure_ZINC000151425199_uff_E=288.22,-5.5,10.245,8.191
merged_structure_ZINC000151425217_uff_E=256.84,-5.9,0.0,0.0
merged_structure_ZINC000151425217_uff_E=256.84,-5.7,15.195,13.217
merged_structure_ZINC000151425217_uff_E=256.84,-5.6,4.007,1.54
merged_structure_ZINC000151425217_uff_E=256.84,-5.5,2.071,1.394
merged_structure_ZINC000151425217_uff_E=256.84,-5.4,13.67,11.668
merged_structure_ZINC000151425217_uff_E=256.84,-5.4,14.208,12.395
merged_structure_ZINC000151425217_uff_E=256.84,-5.4,14.849,12.561
merged_structure_ZINC000151425217_uff_E=256.84,-5.4,4.662,1.633
merged_structure_ZINC000151425217_uff_E=256.84,-5.4,4.72,1.992
merged_structure_ZINC000151425228_uff_E=586.42,-6.6,0.0,0.0
merged_structure_ZINC000151425228_uff_E=586.42,-6.6,8.601,4.259
merged_structure_ZINC000151425228_uff_E=586.42,-6.5,1.841,1.481
merged_structure_ZINC000151425228_uff_E=586.42,-6.3,4.221,3.614
merged_structure_ZINC000151425228_uff_E=586.42,-6.2,2.289,1.945
merged_structure_ZINC000151425228_uff_E=586.42,-6.2,13.431,12.024
merged_structure_ZINC000151425228_uff_E=586.42,-6.2,10.107,4.314
merged_structure_ZINC000151425228_uff_E=586.42,-6.1,8.714,5.87
merged_structure_ZINC000151425228_uff_E=586.42,-6.0,13.962,11.716
merged_structure_ZINC000151425234_uff_E=221.92,-6.3,0.0,0.0
merged_structure_ZINC000151425234_uff_E=221.92,-6.2,7.95,2.202
merged_structure_ZINC000151425234_uff_E=221.92,-6.1,3.696,2.262
merged_structure_ZINC000151425234_uff_E=221.92,-5.9,7.787,1.557
merged_structure_ZINC000151425234_uff_E=221.92,-5.9,15.453,13.532
merged_structure_ZINC000151425234_uff_E=221.92,-5.7,8.422,5.489
merged_structure_ZINC000151425234_uff_E=221.92,-5.4,3.118,1.985
merged_structure_ZINC000151425234_uff_E=221.92,-5.4,6.593,4.278
merged_structure_ZINC000151425234_uff_E=221.92,-5.1,6.642,4.627
merged_structure_ZINC000151425237_uff_E=1889.49,-6.8,0.0,0.0
merged_structure_ZINC000151425237_uff_E=1889.49,-6.7,8.587,4.618
merged_structure_ZINC000151425237_uff_E=1889.49,-6.7,8.405,3.865
merged_structure_ZINC000151425237_uff_E=1889.49,-6.6,4.014,3.072
merged_structure_ZINC000151425237_uff_E=1889.49,-6.6,8.671,4.111
merged_structure_ZINC000151425237_uff_E=1889.49,-6.4,6.961,4.949
merged_structure_ZINC000151425237_uff_E=1889.49,-6.3,10.833,8.073
merged_structure_ZINC000151425237_uff_E=1889.49,-6.3,8.51,4.267
merged_structure_ZINC000151425237_uff_E=1889.49,-6.3,11.488,8.645
merged_structure_ZINC000151425238_uff_E=588.86,-6.4,0.0,0.0
merged_structure_ZINC000151425238_uff_E=588.86,-6.1,6.993,2.552
merged_structure_ZINC000151425238_uff_E=588.86,-6.1,3.031,1.839
merged_structure_ZINC000151425238_uff_E=588.86,-5.8,7.494,4.07
merged_structure_ZINC000151425238_uff_E=588.86,-5.6,13.899,12.213
merged_structure_ZINC000151425238_uff_E=588.86,-5.6,7.342,2.535
merged_structure_ZINC000151425238_uff_E=588.86,-5.6,7.126,2.74
merged_structure_ZINC000151425238_uff_E=588.86,-5.5,7.231,4.607
merged_structure_ZINC000151425238_uff_E=588.86,-5.4,15.541,13.222
merged_structure_ZINC000151425259_uff_E=305.81,-6.1,0.0,0.0
merged_structure_ZINC000151425259_uff_E=305.81,-5.6,2.274,1.115
merged_structure_ZINC000151425259_uff_E=305.81,-5.6,5.607,3.606
merged_structure_ZINC000151425259_uff_E=305.81,-5.4,4.369,2.964
merged_structure_ZINC000151425259_uff_E=305.81,-5.4,2.579,1.702
merged_structure_ZINC000151425259_uff_E=305.81,-5.4,9.934,7.761
merged_structure_ZINC000151425259_uff_E=305.81,-5.3,14.726,12.769
merged_structure_ZINC000151425259_uff_E=305.81,-5.2,6.278,3.429
merged_structure_ZINC000151425259_uff_E=305.81,-5.2,3.377,2.698
merged_structure_ZINC000151425279_uff_E=183.53,-5.9,0.0,0.0
merged_structure_ZINC000151425279_uff_E=183.53,-5.7,7.78,2.453
merged_structure_ZINC000151425279_uff_E=183.53,-5.6,3.374,2.235
merged_structure_ZINC000151425279_uff_E=183.53,-5.6,2.158,1.811
merged_structure_ZINC000151425279_uff_E=183.53,-5.5,7.987,4.938
merged_structure_ZINC000151425279_uff_E=183.53,-5.4,14.73,12.915
merged_structure_ZINC000151425279_uff_E=183.53,-5.3,7.988,5.049
merged_structure_ZINC000151425279_uff_E=183.53,-5.3,11.395,7.651
merged_structure_ZINC000151425279_uff_E=183.53,-5.2,12.139,7.125
merged_structure_ZINC000151425317_uff_E=199.60,-6.2,0.0,0.0
merged_structure_ZINC000151425317_uff_E=199.60,-6.2,14.175,12.854
merged_structure_ZINC000151425317_uff_E=199.60,-6.1,15.103,13.42
